contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
BTC250718C00030000,2025-06-26 14:56:47+00:00,30.0,17.87,17.2,17.9,0.0,0.0,10.0,10.0,1.169926025390625,True,REGULAR,USD,2025-07-18
BTC250718C00038000,2025-06-23 16:14:22+00:00,38.0,7.45,9.4,9.8,0.0,0.0,,,0.676761044921875,True,REGULAR,USD,2025-07-18
BTC250718C00039000,2025-05-21 14:21:33+00:00,39.0,9.73,7.8,8.4,0.0,0.0,1.0,1.0,0.46484910156250003,True,REGULAR,USD,2025-07-18
BTC250718C00040000,2025-06-25 15:32:51+00:00,40.0,7.89,7.4,8.0,0.0,0.0,4.0,218.0,0.6025430371093752,True,REGULAR,USD,2025-07-18
BTC250718C00041000,2025-06-25 15:52:46+00:00,41.0,6.9,6.5,7.0,0.0,0.0,4.0,7.0,0.5585981640625001,True,REGULAR,USD,2025-07-18
BTC250718C00042000,2025-06-25 18:48:50+00:00,42.0,6.03,5.5,6.0,0.0,0.0,7.0,103.0,0.5825237060546875,True,REGULAR,USD,2025-07-18
BTC250718C00043000,2025-06-25 15:53:19+00:00,43.0,5.15,4.6,5.2,0.0,0.0,3.0,12.0,0.570316796875,True,REGULAR,USD,2025-07-18
BTC250718C00044000,2025-06-24 15:23:25+00:00,44.0,3.75,3.7,4.3,0.0,0.0,2.0,19.0,0.5185595019531251,True,REGULAR,USD,2025-07-18
BTC250718C00045000,2025-06-27 18:40:47+00:00,45.0,3.09,3.0,3.3,-0.42000008,-11.965815,20.0,61.0,0.43506424316406256,True,REGULAR,USD,2025-07-18
BTC250718C00046000,2025-06-26 14:15:26+00:00,46.0,2.69,2.2,2.85,0.0,0.0,6.0,159.0,0.4760794580078125,True,REGULAR,USD,2025-07-18
BTC250718C00047000,2025-06-27 14:42:50+00:00,47.0,1.78,1.6,2.05,-0.26999998,-13.170731,103.0,240.0,0.41797457031249996,True,REGULAR,USD,2025-07-18
BTC250718C00048000,2025-06-27 17:01:33+00:00,48.0,1.55,1.25,1.55,0.01999998,1.3071884,12.0,213.0,0.4101621484375,False,REGULAR,USD,2025-07-18
BTC250718C00049000,2025-06-27 17:44:58+00:00,49.0,1.01,0.7,1.25,-0.09000003,-8.181821,5.0,171.0,0.4292049267578125,False,REGULAR,USD,2025-07-18
BTC250718C00050000,2025-06-27 17:51:13+00:00,50.0,0.6,0.5,0.9,-0.22999996,-27.71084,4.0,439.0,0.41992767578125,False,REGULAR,USD,2025-07-18
BTC250718C00051000,2025-06-27 16:14:26+00:00,51.0,0.55,0.2,0.8,-0.050000012,-8.333335,2.0,346.0,0.4594780615234375,False,REGULAR,USD,2025-07-18
BTC250718C00052000,2025-06-27 17:18:43+00:00,52.0,0.42,0.0,0.7,0.00999999,2.439022,1.0,162.0,0.4907277490234375,False,REGULAR,USD,2025-07-18
BTC250718C00053000,2025-06-25 13:59:00+00:00,53.0,0.35,0.15,0.45,0.0,0.0,2.0,36.0,0.46484910156250003,False,REGULAR,USD,2025-07-18
BTC250718C00054000,2025-06-26 15:37:47+00:00,54.0,0.15,0.15,0.3,0.0,0.0,5.0,54.0,0.454107021484375,False,REGULAR,USD,2025-07-18
BTC250718C00055000,2025-06-27 19:19:47+00:00,55.0,0.15,0.1,0.3,-0.049999997,-24.999998,1.0,141.0,0.49707534179687507,False,REGULAR,USD,2025-07-18
BTC250718C00056000,2025-06-25 18:05:13+00:00,56.0,0.15,0.0,0.45,0.0,0.0,38.0,79.0,0.5009815527343751,False,REGULAR,USD,2025-07-18
BTC250718C00060000,2025-06-25 14:11:45+00:00,60.0,0.05,0.0,0.45,0.0,0.0,1.0,66.0,0.64648791015625,False,REGULAR,USD,2025-07-18
BTC250718C00065000,2025-06-25 14:55:09+00:00,65.0,0.05,0.0,0.05,0.0,0.0,6.0,27.0,0.5664105859375,False,REGULAR,USD,2025-07-18
BTC250815C00040000,2025-06-18 18:42:40+00:00,40.0,7.47,6.5,8.5,0.0,0.0,,1.0,0.5915568188476563,True,REGULAR,USD,2025-08-15
BTC250815C00042000,2025-06-23 16:16:07+00:00,42.0,4.82,6.2,6.8,0.0,0.0,,2.0,0.5405319384765627,True,REGULAR,USD,2025-08-15
BTC250815C00044000,2025-06-27 16:33:18+00:00,44.0,5.2,4.7,5.2,0.39999962,8.333325,1.0,1.0,0.49170430175781255,True,REGULAR,USD,2025-08-15
BTC250815C00045000,2025-06-25 15:54:05+00:00,45.0,4.65,4.0,4.6,0.0,0.0,3.0,2.0,0.4914601635742188,True,REGULAR,USD,2025-08-15
BTC250815C00046000,2025-06-25 15:53:49+00:00,46.0,4.05,3.4,4.0,0.0,0.0,2.0,14.0,0.48413601806640627,True,REGULAR,USD,2025-08-15
BTC250815C00047000,2025-06-25 15:53:36+00:00,47.0,3.45,2.85,3.4,0.0,0.0,2.0,13.0,0.47022014160156256,True,REGULAR,USD,2025-08-15
BTC250815C00048000,2025-06-25 14:23:08+00:00,48.0,2.93,2.1,2.95,0.0,0.0,2.0,13.0,0.47119669433593747,False,REGULAR,USD,2025-08-15
BTC250815C00049000,2025-06-25 13:30:01+00:00,49.0,2.55,1.9,2.65,0.0,0.0,1.0,47.0,0.4870656762695313,False,REGULAR,USD,2025-08-15
